row,id,slug,duplicate_key,decision,reason
2,1,opium-edp,yves saint laurent|opium|edp,keep,
3,2,poison-edt,dior|poison|edt,keep,
4,3,alien-edp,thierry mugler|alien|edp,keep,
5,4,linterdit-edp,givenchy|l'interdit|edp,keep,
6,5,for-her-edp,narciso rodriguez|for her|edp,keep,
7,6,leau-dissey-edt,issey miyake|l'eau d'issey|edt,keep,
8,7,eternity-edp,calvin klein|eternity|edp,keep,
9,8,burberry-her-edp,burberry|her|edp,keep,
10,9,daisy-edt,marc jacobs|daisy|edt,keep,
11,10,spicebomb-edt,viktor & rolf|spicebomb|edt,keep,
12,11,invictus-edt,paco rabanne|invictus|edt,keep,
13,12,wanted-edt,azzaro|wanted|edt,keep,
14,13,boss-bottled-edt,hugo boss|boss bottled|edt,keep,
15,14,chloe-edp,chloe|chloe|edp,keep,
16,15,tresor-edp,lancome|tresor|edp,keep,
17,16,mon-guerlain-edp,guerlain|mon guerlain|edp,keep,
18,17,beautiful-edp,estee lauder|beautiful|edp,keep,
19,18,philosykos-edt,diptyque|philosykos|edt,keep,
20,19,do-son-edt,diptyque|do son|edt,keep,
21,20,portrait-of-a-lady-edp,frederic malle|portrait of a lady|edp,keep,
22,21,musc-ravageur-edp,frederic malle|musc ravageur|edp,keep,
23,22,ambre-sultan-edp,serge lutens|ambre sultan|edp,keep,
24,23,wonderwood-edp,comme des garcons|wonderwood|edp,keep,
25,24,colonia-edc,acqua di parma|colonia|edc,keep,
26,25,halfeti-edp,penhaligon's|halfeti|edp,keep,
27,26,no1-masculine-parfum,clive christian|no. 1 masculine|parfum,keep,
28,27,more-than-words-edp,xerjoff|more than words|edp,keep,
29,28,jubilation-xxv-man-edp,amouage|jubilation xxv man|edp,keep,
30,29,jubilation-25-woman-edp,amouage|jubilation 25 woman|edp,keep,
31,30,angels-share-edp,by kilian|angels' share|edp,keep,
32,31,straight-to-heaven-white-cristal-edp,"by kilian|straight to heaven, white cristal|edp",keep,
33,32,eau-rose-edt,diptyque|eau rose|edt,keep,
34,33,not-a-perfume-edp,juliette has a gun|not a perfume|edp,keep,
35,34,rien-edp,etat libre d'orange|rien|edp,keep,
36,35,taif-edp,ormonde jayne|ta'if|edp,keep,
37,36,bat-extrait,zoologist perfumes|bat|extrait,keep,
38,37,bleu-de-chanel-parfum,chanel|bleu de chanel|parfum,keep,
39,38,green-irish-tweed-edp,creed|green irish tweed|edp,keep,
40,39,millesime-imperial-edp,creed|millesime imperial|edp,keep,
41,40,habit-rouge-edt,guerlain|habit rouge|edt,keep,
42,41,coco-mademoiselle-edp,chanel|coco mademoiselle|edp,keep,
43,42,luna-rossa-edt,prada|luna rossa|edt,keep,
44,43,signorina-edp,salvatore ferragamo|signorina|edp,keep,
45,44,leau-dissey-pour-homme-edt,issey miyake|l'eau d'issey pour homme|edt,keep,
46,45,amen-edt,mugler|a*men|edt,keep,
47,46,phantom-edt,rabanne|phantom|edt,keep,
48,47,loewe-001-woman-edp,loewe|001 woman|edp,keep,
49,48,loewe-001-man-edp,loewe|001 man|edp,keep,
50,49,black-afgano-extrait,nasomatto|black afgano|extrait,keep,
51,50,new-york-signature-scent-pure-perfume,bond no. 9|new york signature scent|pure perfume 30%,keep,
